"period","from","to"
"y6q1",2021-05-01 00:00:00,2021-07-31 23:59:59
"y6q2",2021-08-01 00:00:00,2021-10-31 23:59:59
"y6q3",2021-11-01 00:00:00,2022-01-31 23:59:59
"y6q4",2022-02-01 00:00:00,2022-04-30 23:59:59
"y6",2021-05-01 00:00:00,2022-04-30 23:59:59
"y7q1",2022-05-01 00:00:00,2022-07-31 23:59:59
"y7q2",2022-08-01 00:00:00,2022-10-31 23:59:59
"y7q3",2022-11-01 00:00:00,2023-01-31 23:59:59
"y7q4",2023-02-01 00:00:00,2023-04-30 23:59:59
"y7",2022-05-01 00:00:00,2023-04-30 23:59:59
"y_1_5",2000-01-01 00:00:00,2021-04-30 23:59:59
